isbn13,region,retailer,asin,title_name,authors,sales_rank,list_price,print_list_price,price,currency,rating,categories,pages,hours_to_read,total_words,publisher,release_date,imprint,isbn,language,download_options,supported_devices,timestamp,url
9780369700513,US,Kobo US,,Wild Trail,A.M. Arthur,7989,,,8.990,USD,3.89,"Romance, Fiction & Literature, Westerns, Contemporary",345,7 - 8,98k,Harlequin,"May 11, 2020",Carina Press,9780369700513,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS",2024-08-02 17:55:58,https://www.kobo.com/us/en/ebook/wild-trail-4
9780369700759,US,Kobo US,,Captive Star,Nora Roberts,155,,,1.990,USD,4.34,"Romance, Contemporary, Romantic Suspense",384,4 - 5,57k,Silhouette,"August 10, 2020",Silhouette Special Releases,9780369700759,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS, ",2024-08-02 17:55:57,https://www.kobo.com/us/en/ebook/captive-star-10
9780369700582,US,Kobo US,,The Mess You Choose,Megan Hart,28641,,,7.990,USD,3.0,"Romance, Contemporary Women, Contemporary, Erotica, Fiction & Literature",400,9 - 10,114k,MIRA Books,"September 14, 2020",MIRA,9780369700582,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS, ",2024-08-02 17:55:58,https://www.kobo.com/us/en/ebook/the-mess-you-choose
9780369700605,US,Kobo US,,Home on Apple Blossom Road,Sheila Roberts,18458,,,7.990,USD,4.5,"Contemporary Women, Romance, Fiction & Literature, Contemporary",400,7 - 8,91k,MIRA Books,"July 13, 2020",MIRA,9780369700605,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS",2024-08-02 17:55:58,https://www.kobo.com/us/en/ebook/home-on-apple-blossom-road-3
9780369700056,US,Kobo US,,At Home in Stone Creek & Rancher's Wild Secret,Linda Lael Miller,90357,,,5.990,USD,5.0,"Romance, Fiction & Literature, Contemporary",512,7 - 8,97k,Harlequin,"March 30, 2021",Harlequin Bestselling Author Collection,9780369700056,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS",2024-08-02 17:55:58,https://www.kobo.com/us/en/ebook/at-home-in-stone-creek-rancher-s-wild-secret
9780369700667,US,Kobo US,,A New Hope,Robyn Carr,1548,,,8.990,USD,4.74,"Family Life, Romance, Contemporary Women, Contemporary, Fiction & Literature",400,7 - 8,94k,MIRA Books,"August 10, 2020",MIRA,9780369700667,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS, ",2024-08-02 17:55:58,https://www.kobo.com/us/en/ebook/a-new-hope-10
9780369700025,US,Kobo US,,Sawyer & Cowboy Above the Law,Lori Foster,23864,,,5.990,USD,0,"Short Stories, Romance, Fiction & Literature, Contemporary",512,8 - 9,111k,Harlequin,"December 29, 2020",Harlequin Bestselling Author Collection,9780369700025,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS, ",2024-08-02 17:55:57,https://www.kobo.com/us/en/ebook/sawyer-cowboy-above-the-law
9780369700810,US,Kobo US,,Holiday Mountain Rescue,Katy Lee,11715,,,8.990,USD,5.0,"Religious, Fiction & Literature, Romantic Suspense, Romance",386,9 - 10,117k,Harlequin,"October 13, 2020",Love Inspired MMP,9780369700810,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS",2024-08-02 17:55:57,https://www.kobo.com/us/en/ebook/holiday-mountain-rescue-1
9780369700827,US,Kobo US,,Christmas Mountain Protector,Margaret Daley,11718,,,2.990,USD,0,"Religious, Fiction & Literature, Romance",362,9 - 10,118k,Harlequin,"October 13, 2020",Love Inspired MMP,9780369700827,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS",2024-08-02 17:55:58,https://www.kobo.com/us/en/ebook/christmas-mountain-protector-1
9780369700636,US,Kobo US,,204 Rosewood Lane,Debbie Macomber,13150,,,9.990,USD,4.40,"Contemporary Women, Romance, Fiction & Literature, Contemporary",400,7 - 8,99k,MIRA Books,"August 10, 2020",MIRA,9780369700636,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS, ",2024-08-02 17:55:57,https://www.kobo.com/us/en/ebook/204-rosewood-lane-7
9780369700537,US,Kobo US,,Four Brides,Debbie Macomber,13631,,,8.990,USD,4.33,"Contemporary Women, Romance, Fiction & Literature, Contemporary",400,5 - 6,76k,MIRA Books,"May 26, 2020",MIRA,9780369700537,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS, ",2024-08-02 17:55:57,https://www.kobo.com/us/en/ebook/four-brides
9780369700506,US,Kobo US,,Game Changers Collection,Rachel Reid,158,,,18.990,USD,4.67,"Romance, Gay, Sports, Contemporary, LGBT","1,007",22 - 24,273k,Carina Press,"April 6, 2020",Carina Press,9780369700506,English,EPUB 3 (DRM-Free),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS",2024-08-02 17:55:57,https://www.kobo.com/us/en/ebook/game-changers-collection
9780369700612,US,Kobo US,,When Lightning Strikes,Brenda Novak,8900,,,9.990,USD,4.33,"Contemporary Women, Romance, Fiction & Literature, Contemporary",400,8 - 9,106k,MIRA Books,"August 10, 2020",MIRA,9780369700612,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS",2024-08-02 17:55:58,https://www.kobo.com/us/en/ebook/when-lightning-strikes-27
9780369700100,US,Kobo US,,Forgiven,Garrett Leigh,16286,,,4.990,USD,3.5,"Romance, Contemporary Women, Contemporary, New Adult, Fiction & Literature",243,5 - 6,66k,Carina Press,"January 25, 2021",Carina Press,9780369700100,English,EPUB 3 (DRM-Free),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS",2024-08-02 17:55:58,https://www.kobo.com/us/en/ebook/forgiven-57
9780369700834,US,Kobo US,,Her Holiday Mountain Mission,Carol J. Post,8374,,,8.990,USD,0,"Inspired Romance, Romance, Fiction & Literature, Religious",351,9 - 10,114k,Harlequin,"October 13, 2020",Love Inspired MMP,9780369700834,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS",2024-08-02 17:56:07,https://www.kobo.com/us/en/ebook/her-holiday-mountain-mission-1
9780369701053,US,Kobo US,,The House Guests,Emilie Richards,688,,,14.990,USD,4.5,"Contemporary Women, Family Life, Fiction & Literature",400,11 - 12,146k,MIRA Books,"June 29, 2021",MIRA,9780369701053,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS",2024-08-02 17:56:08,https://www.kobo.com/us/en/ebook/the-house-guests-1
9780369700254,US,Kobo US,,A Country Christmas,Marta Perry,5362,,,9.990,USD,5.0,"Inspired Romance, Romance, Contemporary",412,8 - 9,112k,Harlequin,"September 29, 2020",Love Inspired Trade Backlist,9780369700254,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS, ",2024-08-02 17:56:08,https://www.kobo.com/us/en/ebook/a-country-christmas-15
9780369700674,US,Kobo US,,Starting Over on Blackberry Lane,Sheila Roberts,16277,,,12.990,USD,4.71,"Contemporary Women, Romance, Fiction & Literature, Contemporary",400,7 - 8,91k,MIRA Books,"August 10, 2020",MIRA,9780369700674,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS, ",2024-08-02 17:56:08,https://www.kobo.com/us/en/ebook/starting-over-on-blackberry-lane-4
9780369700742,US,Kobo US,,Hidden Star,Nora Roberts,87,,,3.990,USD,3.97,"Romance, Contemporary, Romantic Suspense",384,4 - 5,56k,Silhouette,"July 13, 2020",Silhouette Special Releases,9780369700742,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS, ",2024-08-02 17:56:08,https://www.kobo.com/us/en/ebook/hidden-star-10
9780369701558,US,Kobo US,,Night Study,Maria V. Snyder,1436,,,13.490,USD,4.21,"Romance, Science Fiction & Fantasy, Epic Fantasy, Contemporary, Fantasy",400,9 - 10,119k,MIRA Books,"November 16, 2020",MIRA,9780369701558,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS",2024-08-02 17:56:08,https://www.kobo.com/us/en/ebook/night-study-3
9780369700049,US,Kobo US,,Fever Pitch & Her Homecoming Wish,Sherryl Woods,1686,,,5.990,USD,5.0,"Sports, Romance, Contemporary",512,8 - 9,112k,Harlequin,"April 27, 2021",Harlequin Bestselling Author Collection,9780369700049,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS",2024-08-02 17:56:08,https://www.kobo.com/us/en/ebook/fever-pitch-her-homecoming-wish
9780369700896,US,Kobo US,,The Girl from the Channel Islands,Jenny Lecoat,7243,,,14.990,USD,4.36,"Contemporary Women, Fiction & Literature",314,7 - 8,97k,Graydon House Books,"February 2, 2021",Graydon House,9780369700896,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS",2024-08-02 17:56:07,https://www.kobo.com/us/en/ebook/the-girl-from-the-channel-islands
9780369701275,US,Kobo US,,Fighting Dirty,Lori Foster,1164,,,8.490,USD,4.70,"Sports, Romance, Contemporary, Romantic Suspense",384,8 - 9,109k,HQN Books,"November 16, 2020",HQN Books,9780369701275,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS, ",2024-08-02 17:56:09,https://www.kobo.com/us/en/ebook/fighting-dirty-13
9780369700735,US,Kobo US,,A Wish for Home,Jo Ann Brown,8372,,,11.990,USD,4.80,"Inspired Romance, Romance, Contemporary",341,7 - 8,92k,Harlequin,"March 30, 2021",Love Inspired Trade,9780369700735,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS",2024-08-02 17:56:05,https://www.kobo.com/us/en/ebook/a-wish-for-home
9780369701541,US,Kobo US,,Sacred Evil,Heather Graham,3979,,,9.990,USD,4.5,"Thrillers, Police Procedural, Romance, Mystery & Suspense, Romantic Suspense",400,7 - 8,97k,MIRA Books,"November 16, 2020",MIRA,9780369701541,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS, ",2024-08-02 17:56:08,https://www.kobo.com/us/en/ebook/sacred-evil-6
9780369700353,US,Kobo US,,Montana Secrets,B. J. Daniels,33242,,,8.990,USD,0,"Romance, Romantic Suspense",352,9 - 10,118k,Harlequin,"April 13, 2020",Harlequin Intrigue,9780369700353,English,EPUB 3 (Adobe DRM),"DESKTOP, eREADERS, IOS, ANDROID, TABLETS",2024-08-02 17:56:08,https://www.kobo.com/us/en/ebook/montana-secrets-7
